CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
4398	4402	24	0.7784	-1.002
4398	5058	24	0.7578	486.612
4398	5060	24	0.7524	-50.964
4398	5074	24	0.7408	484.288
3719	3725	24	0.729	500.232
3720	3725	24	0.8855	-0.968
3723	3725	24	0.7487	501.381
3725	4388	24	0.7921	-549.846
3725	5053	24	0.8037	-65.768
9094	9105	24	0.8409	-1.008
3719	3720	24	0.7415	501.2
3719	3723	24	0.7753	-1.149
3719	5046	24	0.747	-98.175
3719	18726	24	0.7356	25.044
18739	24149	24	0.7316	-148.028
18739	24150	24	0.7752	-148.03
4388	18739	24	0.8054	74.014
5053	18739	24	0.773	-410.064
5058	5060	24	0.7292	-537.576
9113	9119	24	0.8392	-1220.156
9113	24149	24	0.7026	-410.054
9113	24150	24	0.7958	-410.056
7210	9113	24	0.733	-67.268
7243	9113	24	0.7598	-65.796
8097	9113	24	0.9052	-34.054
9105	9113	24	0.7575	606.745
24149	24169	24	0.7706	-0.992
24150	24169	24	0.8175	-0.99
24169	24230	24	0.7066	-1.966
24198	28853	24	0.7234	-148.956
24266	28853	24	0.7164	-146.97
24149	24230	24	0.7512	-2.958
24150	24230	24	0.8072	-2.956
24198	24230	24	0.7967	-0.942
24230	24266	24	0.7497	-1.044
8097	9119	24	0.7336	-1254.21
3720	3723	24	0.7721	-502.349
3723	5046	24	0.899	-97.026
3723	5050	24	0.7515	-97.929
3723	5053	24	0.8176	435.613
8097	24150	24	0.743	-444.11
24149	24150	24	0.91	-0.002
24150	24198	24	0.7657	-2.014
24150	24266	24	0.7659	-4.0
8097	9105	24	0.7027	-640.799
7210	8097	24	0.7445	-33.214
24114	24149	24	0.7136	-1.096
4388	5054	24	0.7674	-51.084
5053	5054	24	0.7837	-535.162
24149	24198	24	0.7726	-2.016
24198	24266	24	0.7399	-1.986
7243	8097	24	0.7959	-31.742
3720	4388	24	0.7672	-550.814
3720	5046	24	0.7198	-599.375
3720	5053	24	0.7979	-66.736
24149	24266	24	0.7589	-4.002
5039	5050	24	0.7111	-1.044
5046	5050	24	0.7985	-0.903
5046	5053	24	0.8154	532.639
4388	5053	24	0.9044	484.078
5050	5053	24	0.7671	533.542
22780	23392	25	0.8443	-35.988
22807	23392	25	0.8607	-34.984
22830	23392	25	0.8735	-1624.35
22868	23392	25	0.8487	-32.988
23078	23392	25	0.8473	-17.98
23102	23392	25	0.8423	-16.948
23383	23392	25	0.8983	-1.004
36311	36611	25	0.8344	-35.991
36314	36611	25	0.8802	-34.986
36323	36611	25	0.923	-33.987
36466	36611	25	0.846	-17.97
36472	36611	25	0.8589	-16.968
36591	36611	25	0.8895	-2.007
36602	36611	25	0.9099	-1.005
36611	36618	25	0.8543	-1.002
36611	36778	25	0.9278	-16.026
36611	36785	25	0.9488	-17.022
36187	36323	25	0.8727	-15.987
36311	36323	25	0.9477	-2.004
36314	36323	25	0.9647	-0.999
36323	36466	25	0.9551	-16.017
36323	36472	25	0.9698	-17.019
36323	36602	25	0.8824	-32.982
36323	36618	25	0.8679	-34.989
36323	36778	25	0.8519	-50.013
36323	36785	25	0.8809	-51.009
22780	23078	25	0.8897	-18.008
22807	23078	25	0.8802	-17.004
22830	23078	25	0.8916	-1606.37
22868	23078	25	0.8508	-15.008
23078	23102	25	0.8511	-1.032
23078	23383	25	0.8498	-16.976
36182	36315	25	0.7749	-15.978
36315	36466	25	0.8145	-17.031
22431	22454	25	0.9196	-1.012
22454	22472	25	0.9011	-1.008
22454	22807	25	0.7784	-15.992
22454	36182	25	0.7739	0.005
22454	36187	25	0.7387	-1.0
22454	36191	25	0.7503	-2.017
36182	36187	25	0.9465	-1.005
36182	36191	25	0.9047	-2.022
36182	36314	25	0.8728	-15.993
22431	36182	25	0.7831	-1.007
22472	36182	25	0.7629	1.013
36311	36314	25	0.9386	-1.005
36311	36466	25	0.9373	-18.021
36311	36472	25	0.9237	-19.023
36311	36591	25	0.9029	-33.984
36311	36602	25	0.8503	-34.986
36311	36778	25	0.8386	-52.017
36311	36785	25	0.8473	-53.013
36314	36778	25	0.8564	-51.012
36466	36778	25	0.9286	-33.996
36472	36778	25	0.8487	-32.994
36591	36778	25	0.9179	-18.033
36602	36778	25	0.9436	-17.031
36618	36778	25	0.8421	-15.024
36778	36785	25	0.925	-0.996
36314	36472	25	0.9452	-18.018
36466	36472	25	0.9366	-1.002
36472	36591	25	0.8107	-14.961
36472	36602	25	0.8356	-15.963
36472	36618	25	0.843	-17.97
36472	36785	25	0.9116	-33.99
36314	36785	25	0.8606	-52.008
36466	36785	25	0.8718	-34.992
36591	36785	25	0.8993	-19.029
36602	36785	25	0.9355	-18.027
36618	36785	25	0.929	-16.02
22431	22472	25	0.9193	-2.02
22472	36187	25	0.7584	0.008
22472	36191	25	0.7538	-1.009
36314	36466	25	0.9649	-17.016
36314	36591	25	0.866	-32.979
36314	36602	25	0.9284	-33.981
36591	36618	25	0.8483	-3.009
36602	36618	25	0.8677	-2.007
23383	36618	25	0.7964	-2.004
22431	22780	25	0.7763	-16.0
22780	22807	25	0.9033	-1.004
22780	22830	25	0.9381	1588.362
22780	22868	25	0.8846	-3.0
22780	23102	25	0.8775	-19.04
22780	23383	25	0.9072	-34.984
22431	36187	25	0.7525	-2.012
22431	36191	25	0.7819	-3.029
22807	22830	25	0.9402	1589.366
22830	22868	25	0.9106	-1591.362
22830	23102	25	0.9184	-1607.402
22830	23383	25	0.9031	-1623.346
36466	36591	25	0.8187	-15.963
36466	36602	25	0.8447	-16.965
36591	36602	25	0.9222	-1.002
22807	23102	25	0.8797	-18.036
22868	23102	25	0.8816	-16.04
23102	23383	25	0.872	-15.944
22807	23383	25	0.8998	-33.98
22868	23383	25	0.8601	-31.984
22807	22868	25	0.8963	-1.996
36187	36191	25	0.8758	-1.017
17373	21435	26	0.7312	-215.136
21401	21435	26	0.894	-0.996
21434	21435	26	0.7145	-1553.833
21435	21458	26	0.9494	-1.0
