identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:4621	2	814.882202148438	24.381072	2932	EK_Q_07.mzML	4621
mzspec:USI000000:EK_Q_07:scan:4626	2	511.260803222656	24.410495	891	EK_Q_07.mzML	4626
mzspec:USI000000:EK_Q_07:scan:4637	2	626.262390136719	24.47727	1860	EK_Q_07.mzML	4637
mzspec:USI000000:EK_Q_07:scan:4643	2	691.326293945313	24.508099	2308	EK_Q_07.mzML	4643
mzspec:USI000000:EK_Q_07:scan:4655	2	541.772338867188	24.577859	1144	EK_Q_07.mzML	4655
mzspec:USI000000:EK_Q_07:scan:4671	2	531.724182128906	24.674257	1058	EK_Q_07.mzML	4671
mzspec:USI000000:EK_Q_07:scan:4677	3	600.293823242188	24.72722	4355	EK_Q_07.mzML	4677
mzspec:USI000000:EK_Q_07:scan:4683	2	452.292449951172	24.758022	420	EK_Q_07.mzML	4683
mzspec:USI000000:EK_Q_07:scan:4684	3	400.89990234375	24.766833	3621	EK_Q_07.mzML	4684
mzspec:USI000000:EK_Q_07:scan:4688	2	380.229919433594	24.802106	100	EK_Q_07.mzML	4688
mzspec:USI000000:EK_Q_07:scan:4689	2	513.286926269531	24.81093	911	EK_Q_07.mzML	4689
mzspec:USI000000:EK_Q_07:scan:4695	3	301.864196777344	24.854618	3472	EK_Q_07.mzML	4695
mzspec:USI000000:EK_Q_07:scan:4705	2	713.887512207031	24.935268	2473	EK_Q_07.mzML	4705
mzspec:USI000000:EK_Q_07:scan:4706	2	521.834777832031	24.940195	969	EK_Q_07.mzML	4706
mzspec:USI000000:EK_Q_07:scan:4707	3	396.559661865234	24.944683	3603	EK_Q_07.mzML	4707
mzspec:USI000000:EK_Q_07:scan:4708	2	482.756408691406	24.95091	643	EK_Q_07.mzML	4708
mzspec:USI000000:EK_Q_07:scan:4711	3	315.194396972656	24.977356	3483	EK_Q_07.mzML	4711
mzspec:USI000000:EK_Q_07:scan:4713	2	558.79443359375	24.994993	1281	EK_Q_07.mzML	4713
mzspec:USI000000:EK_Q_07:scan:4716	3	489.255737304688	25.010095	3970	EK_Q_07.mzML	4716
mzspec:USI000000:EK_Q_07:scan:4717	2	594.337036132813	25.014824	1627	EK_Q_07.mzML	4717
mzspec:USI000000:EK_Q_07:scan:4718	2	528.262817382813	25.023247	1013	EK_Q_07.mzML	4718
mzspec:USI000000:EK_Q_07:scan:4735	2	492.275543212891	25.136002	720	EK_Q_07.mzML	4735
mzspec:USI000000:EK_Q_07:scan:4740	3	476.918609619141	25.174056	3925	EK_Q_07.mzML	4740
mzspec:USI000000:EK_Q_07:scan:4751	2	639.822387695313	25.248381	1983	EK_Q_07.mzML	4751
mzspec:USI000000:EK_Q_07:scan:4760	2	543.340148925781	25.299985	1170	EK_Q_07.mzML	4760
mzspec:USI000000:EK_Q_07:scan:4783	2	574.782531738281	25.449244	1428	EK_Q_07.mzML	4783
mzspec:USI000000:EK_Q_07:scan:4790	3	395.568328857422	25.484563	3602	EK_Q_07.mzML	4790
mzspec:USI000000:EK_Q_07:scan:4791	2	442.27197265625	25.493371	357	EK_Q_07.mzML	4791
mzspec:USI000000:EK_Q_07:scan:4792	2	428.766815185547	25.502181	277	EK_Q_07.mzML	4792
mzspec:USI000000:EK_Q_07:scan:4825	3	489.256439208984	25.726025	3970	EK_Q_07.mzML	4825
mzspec:USI000000:EK_Q_07:scan:4826	2	447.768768310547	25.730444	367	EK_Q_07.mzML	4826
mzspec:USI000000:EK_Q_07:scan:4842	2	599.796569824219	25.86038	1672	EK_Q_07.mzML	4842
mzspec:USI000000:EK_Q_07:scan:4850	2	521.27783203125	25.903257	963	EK_Q_07.mzML	4850
mzspec:USI000000:EK_Q_07:scan:4854	3	358.222381591797	25.937417	3536	EK_Q_07.mzML	4854
mzspec:USI000000:EK_Q_07:scan:4855	3	483.600341796875	25.946228	3948	EK_Q_07.mzML	4855
mzspec:USI000000:EK_Q_07:scan:4861	2	639.822570800781	25.993819	1983	EK_Q_07.mzML	4861
mzspec:USI000000:EK_Q_07:scan:4862	2	577.3349609375	26.002644	1459	EK_Q_07.mzML	4862
mzspec:USI000000:EK_Q_07:scan:4873	3	479.944519042969	26.089886	3935	EK_Q_07.mzML	4873
mzspec:USI000000:EK_Q_07:scan:4874	2	572.325988769531	26.098293	1411	EK_Q_07.mzML	4874
mzspec:USI000000:EK_Q_07:scan:4876	2	417.726715087891	26.114938	227	EK_Q_07.mzML	4876
mzspec:USI000000:EK_Q_07:scan:4887	2	601.294494628906	26.206603	1681	EK_Q_07.mzML	4887
mzspec:USI000000:EK_Q_07:scan:4888	2	477.293060302734	26.21543	601	EK_Q_07.mzML	4888
mzspec:USI000000:EK_Q_07:scan:4895	3	352.876678466797	26.269928	3524	EK_Q_07.mzML	4895
mzspec:USI000000:EK_Q_07:scan:4898	2	508.791442871094	26.296407	873	EK_Q_07.mzML	4898
mzspec:USI000000:EK_Q_07:scan:4906	2	487.269409179688	26.355934	681	EK_Q_07.mzML	4906
mzspec:USI000000:EK_Q_07:scan:4917	2	504.274566650391	26.441985	827	EK_Q_07.mzML	4917
mzspec:USI000000:EK_Q_07:scan:4923	2	637.809509277344	26.494626	1963	EK_Q_07.mzML	4923
mzspec:USI000000:EK_Q_07:scan:4928	3	407.539672851563	26.533362	3656	EK_Q_07.mzML	4928
mzspec:USI000000:EK_Q_07:scan:4931	3	544.610900878906	26.559818	4183	EK_Q_07.mzML	4931
mzspec:USI000000:EK_Q_07:scan:4940	2	816.41552734375	26.633289	2935	EK_Q_07.mzML	4940
mzspec:USI000000:EK_Q_07:scan:4941	2	576.802795410156	26.642114	1452	EK_Q_07.mzML	4941
mzspec:USI000000:EK_Q_07:scan:4949	2	606.333740234375	26.707297	1727	EK_Q_07.mzML	4949
mzspec:USI000000:EK_Q_07:scan:4965	2	852.9150390625	26.838377	3061	EK_Q_07.mzML	4965
mzspec:USI000000:EK_Q_07:scan:4967	3	419.548065185547	26.856012	3699	EK_Q_07.mzML	4967
mzspec:USI000000:EK_Q_07:scan:4973	2	349.731384277344	26.898164	47	EK_Q_07.mzML	4973
mzspec:USI000000:EK_Q_07:scan:4977	2	456.269287109375	26.93236	455	EK_Q_07.mzML	4977
mzspec:USI000000:EK_Q_07:scan:4985	2	546.316833496094	26.971944	1182	EK_Q_07.mzML	4985
mzspec:USI000000:EK_Q_07:scan:4988	3	549.922607421875	26.989842	4202	EK_Q_07.mzML	4988
mzspec:USI000000:EK_Q_07:scan:4996	2	487.269744873047	27.051181	682	EK_Q_07.mzML	4996
mzspec:USI000000:EK_Q_07:scan:4997	3	383.561126708984	27.056244	3577	EK_Q_07.mzML	4997
mzspec:USI000000:EK_Q_07:scan:4999	3	478.928894042969	27.073862	3932	EK_Q_07.mzML	4999
mzspec:USI000000:EK_Q_07:scan:5001	2	495.784729003906	27.091498	752	EK_Q_07.mzML	5001
mzspec:USI000000:EK_Q_07:scan:5007	2	574.83837890625	27.133898	1433	EK_Q_07.mzML	5007
mzspec:USI000000:EK_Q_07:scan:5008	3	502.250701904297	27.137971	4021	EK_Q_07.mzML	5008
mzspec:USI000000:EK_Q_07:scan:5011	3	484.914733886719	27.162	3954	EK_Q_07.mzML	5011
mzspec:USI000000:EK_Q_07:scan:5012	2	654.34619140625	27.170829	2078	EK_Q_07.mzML	5012
mzspec:USI000000:EK_Q_07:scan:5014	2	570.309936523438	27.188498	1387	EK_Q_07.mzML	5014
mzspec:USI000000:EK_Q_07:scan:5020	2	556.291748046875	27.230646	1260	EK_Q_07.mzML	5020
mzspec:USI000000:EK_Q_07:scan:5027	3	544.611877441406	27.281334	4183	EK_Q_07.mzML	5027
mzspec:USI000000:EK_Q_07:scan:5028	2	468.250823974609	27.287661	522	EK_Q_07.mzML	5028
mzspec:USI000000:EK_Q_07:scan:5029	3	401.567352294922	27.296471	3627	EK_Q_07.mzML	5029
mzspec:USI000000:EK_Q_07:scan:5036	2	695.365600585938	27.358907	2341	EK_Q_07.mzML	5036
mzspec:USI000000:EK_Q_07:scan:5040	3	463.914672851563	27.375417	3867	EK_Q_07.mzML	5040
mzspec:USI000000:EK_Q_07:scan:5043	3	356.544494628906	27.392688	3533	EK_Q_07.mzML	5043
mzspec:USI000000:EK_Q_07:scan:5046	2	802.939880371094	27.419205	2891	EK_Q_07.mzML	5046
mzspec:USI000000:EK_Q_07:scan:5050	2	680.335693359375	27.442542	2230	EK_Q_07.mzML	5050
mzspec:USI000000:EK_Q_07:scan:5051	3	470.2812	27.448088	3898	EK_Q_07.mzML	5051
mzspec:USI000000:EK_Q_07:scan:5053	3	448.9267	27.459573	3818	EK_Q_07.mzML	5053
mzspec:USI000000:EK_Q_07:scan:5054	2	493.777893066406	27.468401	729	EK_Q_07.mzML	5054
mzspec:USI000000:EK_Q_07:scan:5055	2	394.250213623047	27.477211	126	EK_Q_07.mzML	5055
mzspec:USI000000:EK_Q_07:scan:5074	2	541.321716308594	27.585626	1141	EK_Q_07.mzML	5074
mzspec:USI000000:EK_Q_07:scan:5079	2	633.295166015625	27.607538	1933	EK_Q_07.mzML	5079
mzspec:USI000000:EK_Q_07:scan:5080	2	515.252624511719	27.616365	925	EK_Q_07.mzML	5080
mzspec:USI000000:EK_Q_07:scan:5088	2	517.785949707031	27.659013	942	EK_Q_07.mzML	5088
mzspec:USI000000:EK_Q_07:scan:5110	3	502.250671386719	27.840553	4022	EK_Q_07.mzML	5110
mzspec:USI000000:EK_Q_07:scan:5112	2	631.859497070313	27.855024	1922	EK_Q_07.mzML	5112
mzspec:USI000000:EK_Q_07:scan:5113	2	584.341125488281	27.863851	1536	EK_Q_07.mzML	5113
mzspec:USI000000:EK_Q_07:scan:5114	2	607.853271484375	27.872676	1739	EK_Q_07.mzML	5114
mzspec:USI000000:EK_Q_07:scan:5117	2	718.873046875	27.899174	2504	EK_Q_07.mzML	5117
mzspec:USI000000:EK_Q_07:scan:5121	2	749.377197265625	27.926937	2664	EK_Q_07.mzML	5121
